Time,PT.Motor.Trq,Car.v
65.37,-9.999999046,62.89256739
65.38,-9.999999046,62.78246379
65.39,-9.999999046,62.67266917
65.4,-9.999999046,62.56319041
65.41,-9.999999046,62.45402064
65.42,-9.999999046,62.3451736
65.43,-9.999999046,62.23663554
65.44,-9.999999046,62.12840647
65.45,-9.999999046,62.02047953
65.46,-9.999999046,61.91286158
65.47,-9.999999046,61.80554576
65.48,-9.999999046,61.69852519
65.49,-9.999999046,61.59179301
65.5,-9.999999046,61.48534922
65.51,-9.999999046,61.37918696
65.52,-9.999999046,61.27330623
65.53,-9.999999046,61.16770015
65.54,-9.999999046,61.06236873
65.55,-9.999999046,60.95729823
65.56,-9.999999046,60.85250239
65.57,-9.999999046,60.74796748
65.58,-9.999999046,60.64368663
65.59,-9.999999046,60.5396667
65.6,-9.999999046,60.4359077
65.61,-9.999999046,60.33239589
65.62,-9.999999046,60.22913814
65.63,-9.999999046,60.12612758
65.64,-9.999999046,60.02337108
65.65,-9.999999046,59.9208549
65.66,-9.999999046,59.81857905
65.67,-9.999999046,59.7165504
65.68,-9.999999046,59.61476207
65.69,-9.999999046,59.5132072
65.7,-9.999999046,59.41189265
65.71,-9.999999046,59.31081843
65.72,-9.999999046,59.20998454
65.73,-9.999999046,59.10938411
65.74,-9.999999046,59.00901713
65.75,-9.999999046,58.90889049
65.76,-9.999999046,58.80899043
65.77,-9.999999046,58.70932384
65.78,-9.999999046,58.60988383
65.79,-9.999999046,58.51066356
65.8,-9.999999046,58.41166988
65.81,-9.999999046,58.31288905
65.82,-9.999999046,58.21432796
65.83,-9.999999046,58.11596599
65.84,-9.999999046,58.01781001
65.85,-9.999999046,57.9198463
65.86,-9.999999046,57.82207484
65.87,-9.999999046,57.72449565
65.88,-9.999999046,57.62708812
65.89,-9.999999046,57.52986598
65.9,-9.999999046,57.43281207
65.91,-9.999999046,57.33592982
65.92,-9.999999046,57.23920894
65.93,-9.999999046,57.14265285
65.94,-9.999999046,57.04625812
65.95,-9.999999046,56.95001788
65.96,-9.999999046,56.85392871
65.97,-9.999999046,56.75799403
65.98,-9.999999046,56.66220355
65.99,-9.999999046,56.5665607
66,-9.999999046,56.47105861
66.01,-9.999999046,56.37569728
66.02,-9.999999046,56.28047328
66.03,-9.999999046,56.18538318
66.04,-9.999999046,56.09042354
66.05,-9.999999046,55.99559093
66.06,-9.999999046,55.90088535
66.07,-9.999999046,55.80629993
66.08,-9.999999046,55.71182781
66.09,-9.999999046,55.61747241
66.1,-9.999999046,55.52323032
66.11,-9.999999046,55.42909122
66.12,-9.999999046,55.33505855
66.13,-9.999999046,55.24112544
