#Name,Car.ay,Car.tx,Car.ty,Car.v,Steer.WhlAng,Time
#Dataset,C1,C1,C1,C1,C1,C1
#Unit,m/s^2,m,m,m/s,deg,s
,-6.14E-07,2.743412495,2.423356771,3.24E-07,4.76E-14,2.88
,-2.13E-08,2.743412495,2.423356771,3.24E-07,4.76E-14,2.89
,-2.29E-08,2.743412495,2.423356771,3.23E-07,4.76E-14,2.9
,-6.30E-09,2.743412495,2.423356771,3.22E-07,4.76E-14,2.91
,3.01E-08,2.743412495,2.423356771,3.23E-07,4.76E-14,2.92
,6.77E-07,2.743412495,2.423356771,3.21E-07,4.76E-14,2.93
,-1.64E-08,2.743412495,2.423356771,3.21E-07,4.76E-14,2.94
,9.04E-08,2.743412495,2.423356771,3.21E-07,4.76E-14,2.95
,1.17E-06,2.743412495,2.423356771,3.22E-07,4.76E-14,2.96
,3.01E-09,2.743412495,2.423356771,3.23E-07,4.76E-14,2.97
,-5.47E-07,2.743412495,2.423356771,3.22E-07,4.76E-14,2.98
,5.93E-07,2.743412495,2.423356771,3.20E-07,4.76E-14,2.99
,1.06E-07,2.743412495,2.423356771,3.20E-07,4.76E-14,3
,-1.90E-07,2.743412495,2.423356771,3.19E-07,4.76E-14,3.01
,-1.01E-07,2.743412495,2.423356771,3.20E-07,4.76E-14,3.02
,-4.94E-07,2.743412495,2.423356771,3.21E-07,4.76E-14,3.03
,-6.70E-08,2.743412495,2.423356771,3.21E-07,4.76E-14,3.04
,-8.80E-08,2.743412495,2.423356771,3.19E-07,4.76E-14,3.05
,-1.15E-06,2.743412495,2.423356771,3.20E-07,4.76E-14,3.06
,7.11E-08,2.743412495,2.423356771,3.21E-07,4.76E-14,3.07
,-5.48E-07,2.743412495,2.423356771,3.19E-07,4.76E-14,3.08
,-1.23E-07,2.743412495,2.423356771,3.17E-07,4.76E-14,3.09
,5.29E-08,2.743412495,2.423356771,3.17E-07,4.76E-14,3.1
,8.12E-08,2.743412495,2.423356771,3.18E-07,4.76E-14,3.11
,-4.90E-07,2.743412495,2.423356771,3.19E-07,4.76E-14,3.12
,-9.98E-08,2.743412495,2.423356771,3.20E-07,4.76E-14,3.13
,5.86E-08,2.743412495,2.423356771,3.20E-07,4.76E-14,3.14
,6.04E-07,2.743412495,2.423356771,3.18E-07,4.76E-14,3.15
,3.76E-08,2.743412495,2.423356771,3.17E-07,4.76E-14,3.16
,2.18E-07,2.743412495,2.423356771,3.17E-07,4.76E-14,3.17
,5.61E-07,2.743412495,2.423356771,3.18E-07,4.76E-14,3.18
,7.12E-07,2.743412495,2.423356771,3.19E-07,4.76E-14,3.19
,5.58E-08,2.743412495,2.423356771,3.19E-07,4.76E-14,3.2
,5.47E-08,2.743412495,2.423356771,3.15E-07,4.76E-14,3.21
,7.04E-08,2.743412495,2.423356771,3.15E-07,4.76E-14,3.22
,8.34E-08,2.743412495,2.423356771,3.15E-07,4.76E-14,3.23
,6.20E-07,2.743412495,2.423356771,3.16E-07,4.76E-14,3.24
,-2.75E-08,2.743412495,2.423356771,3.18E-07,4.76E-14,3.25
,7.36E-07,2.743412495,2.423356771,3.17E-07,4.76E-14,3.26
,7.08E-07,2.743412495,2.423356771,3.15E-07,4.76E-14,3.27
,6.23E-08,2.743412495,2.423356771,3.15E-07,4.76E-14,3.28
,-4.06E-07,2.743412495,2.423356771,3.17E-07,4.76E-14,3.29
,-1.83E-07,2.743412495,2.423356771,3.17E-07,4.76E-14,3.3
,-8.76E-08,2.743412495,2.423356771,3.17E-07,4.76E-14,3.31
,-1.10E-07,2.743412495,2.423356771,3.14E-07,4.76E-14,3.32
,-8.63E-08,2.743412495,2.423356771,3.14E-07,4.76E-14,3.33
,5.97E-07,2.743412495,2.423356771,3.15E-07,4.76E-14,3.34
,5.48E-07,2.743412495,2.423356771,3.16E-07,4.76E-14,3.35
,1.25E-07,2.743412495,2.423356771,3.16E-07,4.76E-14,3.36
,-4.59E-07,2.743412495,2.423356771,3.14E-07,4.76E-14,3.37
,-3.10E-08,2.743412495,2.423356771,3.13E-07,4.76E-14,3.38
,7.11E-09,2.743412495,2.423356771,3.15E-07,4.76E-14,3.39
,-1.31E-07,2.743412495,2.423356771,3.16E-07,4.76E-14,3.4
,1.05E-07,2.743412495,2.423356771,3.15E-07,4.76E-14,3.41
,1.88E-07,2.743412495,2.423356771,3.12E-07,4.76E-14,3.42
,-1.78E-08,2.743412495,2.423356771,3.12E-07,4.76E-14,3.43
,8.36E-08,2.743412495,2.423356771,3.12E-07,4.76E-14,3.44
,-2.83E-08,2.743412495,2.423356771,3.14E-07,4.76E-14,3.45
,3.69E-08,2.743412495,2.423356771,3.14E-07,4.76E-14,3.46
,-1.75E-08,2.743412495,2.423356771,3.14E-07,4.76E-14,3.47
,2.49E-08,2.743412495,2.423356771,3.13E-07,4.76E-14,3.48
,-5.51E-07,2.743412495,2.423356771,3.12E-07,4.76E-14,3.49
,1.42E-07,2.743412495,2.423356771,3.11E-07,4.76E-14,3.5
,-1.37E-07,2.743412495,2.423356771,3.11E-07,4.76E-14,3.51
