time,ecu,resp_id,did,signal,value,unit
21.826035,ABS / ESP,0x7D9,,brake_pedel,36,mm
21.92259,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
21.92259,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
21.92259,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
21.92259,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
21.92259,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
21.92259,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
21.92259,MCU DID 0101,0x7EC,0101,rpm,0,rpm
21.94254,ABS / ESP,0x7D9,,speed_kmh,0,km/h
21.955957,ABS / ESP,0x7D9,,steer_raw,32772,raw
21.960043,ABS / ESP,0x7D9,,brake_pedel,37,mm
22.052566,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
22.052566,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
22.052566,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
22.052566,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
22.052566,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
22.052566,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
22.052566,MCU DID 0101,0x7EC,0101,rpm,0,rpm
22.072366,ABS / ESP,0x7D9,,speed_kmh,0,km/h
22.085331,ABS / ESP,0x7D9,,steer_raw,32772,raw
22.090273,ABS / ESP,0x7D9,,brake_pedel,37,mm
22.188086,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
22.188086,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
22.188086,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
22.188086,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
22.188086,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
22.188086,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
22.188086,MCU DID 0101,0x7EC,0101,rpm,0,rpm
22.207519,ABS / ESP,0x7D9,,speed_kmh,0,km/h
22.220521,ABS / ESP,0x7D9,,steer_raw,32772,raw
22.225614,ABS / ESP,0x7D9,,brake_pedel,37,mm
22.322243,MCU DID 0101,0x7EC,0101,battery_current,0.9,A
22.322243,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
22.322243,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
22.322243,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
22.322243,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
22.322243,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
22.322243,MCU DID 0101,0x7EC,0101,rpm,0,rpm
22.342682,ABS / ESP,0x7D9,,speed_kmh,0,km/h
22.355269,ABS / ESP,0x7D9,,steer_raw,32772,raw
22.360231,ABS / ESP,0x7D9,,brake_pedel,38,mm
22.452051,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
22.452051,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
22.452051,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
22.452051,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
22.452051,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
22.452051,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
22.452051,MCU DID 0101,0x7EC,0101,rpm,0,rpm
22.471312,ABS / ESP,0x7D9,,speed_kmh,0,km/h
22.48525,ABS / ESP,0x7D9,,steer_raw,32771,raw
22.490304,ABS / ESP,0x7D9,,brake_pedel,38,mm
22.582516,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
22.582516,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
